Series_Title,Genre,IMDB_Rating
Finding Nemo,"Animation, Adventure, Comedy",8.1
Catch Me If You Can,"Biography, Crime, Drama",8.1
Amores perros,"Drama, Thriller",8.1
"Monsters, Inc.","Animation, Adventure, Comedy",8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",8.1
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",8.1
The Sixth Sense,"Drama, Mystery, Thriller",8.1
La leggenda del pianista sull'oceano,"Drama, Music, Romance",8.1
The Truman Show,"Comedy, Drama",8.1
"Crna macka, beli macor","Comedy, Crime, Romance",8.1
The Big Lebowski,"Comedy, Crime, Sport",8.1
Fa yeung nin wah,"Drama, Romance",8.1
Trainspotting,Drama,8.1
Fargo,"Crime, Drama, Thriller",8.1
Underground,"Comedy, Drama, War",8.1
La haine,"Crime, Drama",8.1
Dilwale Dulhania Le Jayenge,"Drama, Romance",8.1
Before Sunrise,"Drama, Romance",8.1
Trois couleurs: Rouge,"Drama, Mystery, Romance",8.1
Chung Hing sam lam,"Comedy, Crime, Drama",8.1
Jurassic Park,"Action, Adventure, Sci-Fi",8.1
In the Name of the Father,"Biography, Crime, Drama",8.1
Ba wang bie ji,"Drama, Music, Romance",8.1
Dà hóng denglong gaogao guà,"Drama, History, Romance",8.1
Dead Poets Society,"Comedy, Drama",8.1
Stand by Me,"Adventure, Drama",8.1
Platoon,"Drama, War",8.1
"Paris, Texas",Drama,8.1
Kaze no tani no Naushika,"Animation, Adventure, Fantasy",8.1
The Thing,"Horror, Mystery, Sci-Fi",8.1
Pink Floyd: The Wall,"Drama, Fantasy, Music",8.1
Fitzcarraldo,"Adventure, Drama",8.1
Fanny och Alexander,Drama,8.1
Blade Runner,"Action, Sci-Fi, Thriller",8.1
The Elephant Man,"Biography, Drama",8.1
Life of Brian,Comedy,8.1
The Deer Hunter,"Drama, War",8.1
Rocky,"Drama, Sport",8.1
Network,Drama,8.1
Barry Lyndon,"Adventure, Drama, History",8.1
Zerkalo,"Biography, Drama",8.1
Chinatown,"Drama, Mystery, Thriller",8.1
Paper Moon,"Comedy, Crime, Drama",8.1
Viskningar och rop,Drama,8.1
Solaris,"Drama, Mystery, Sci-Fi",8.1
Le samouraï,"Crime, Drama, Mystery",8.1
Cool Hand Luke,"Crime, Drama",8.1
Persona,"Drama, Thriller",8.1
Andrei Rublev,"Biography, Drama, History",8.1
La battaglia di Algeri,"Drama, War",8.1
El ángel exterminador,"Drama, Fantasy",8.1
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",8.1
Sanjuro,"Action, Comedy, Crime",8.1
The Man Who Shot Liberty Valance,"Drama, Western",8.1
Ivanovo detstvo,"Drama, War",8.1
Jungfrukällan,Drama,8.1
Inherit the Wind,"Biography, Drama, History",8.1
Les quatre cents coups,"Crime, Drama",8.1
Ben-Hur,"Adventure, Drama, History",8.1
Kakushi-toride no san-akunin,"Adventure, Drama",8.1
Le notti di Cabiria,Drama,8.1
Kumonosu-jô,"Drama, History",8.1
The Bridge on the River Kwai,"Adventure, Drama, War",8.1
On the Waterfront,"Crime, Drama, Thriller",8.1
Le salaire de la peur,"Adventure, Drama, Thriller",8.1
Ace in the Hole,"Drama, Film-Noir",8.1
White Heat,"Action, Crime, Drama",8.1
The Third Man,"Film-Noir, Mystery, Thriller",8.1
The Red Shoes,"Drama, Music, Romance",8.1
The Shop Around the Corner,"Comedy, Drama, Romance",8.1
Rebecca,"Drama, Mystery, Romance",8.1
Mr. Smith Goes to Washington,"Comedy, Drama",8.1
Gone with the Wind,"Drama, History, Romance",8.1
La Grande Illusion,"Drama, War",8.1
It Happened One Night,"Comedy, Romance",8.1
La passion de Jeanne d'Arc,"Biography, Drama, History",8.1
The Circus,"Comedy, Romance",8.1
Sunrise: A Song of Two Humans,"Drama, Romance",8.1
The General,"Action, Adventure, Comedy",8.1
Das Cabinet des Dr. Caligari,"Fantasy, Horror, Mystery",8.1
Badhaai ho,"Comedy, Drama",8
Togo,"Adventure, Biography, Drama",8
Airlift,"Drama, History",8
